benchmark,size,n_nodes,n_processes,best_backend,sub_backend,best_runtime,n_qubits,depth,width,n_clbits,n_ops,n_gates,n_parameters,n_connected_components,n_measure_ops,single_qubit_gates,two_qubit_gates,three_qubit_gates,four_qubit_gates,num_separable_circuits,num_tensor_factors,num_serial_layers,qc_width_total,num_registers,num_cregs,num_ancillas,idle_wires,global_phase,dag_size_ops,dag_edge_count,longest_path_len,num_control_flow_ops,num_barriers,num_distinct_twoq_pairs,touch_min,touch_max,touch_avg,clifford_count,nonclifford_count,measure_fraction,total_gate_params,avg_gate_params,std_gate_params,min_gate_params,max_gate_params,num_controlled_gates,num_unitary_factors,dag_duration,qc_duration,gate_barrier,gate_ccx,gate_cp,gate_cu,gate_cx,gate_cz,gate_h,gate_measure,gate_p,gate_rx,gate_ry,gate_rz,gate_s,gate_swap,gate_u2,arg_number_of_iterations,arg_optimization_level,algo_depth,algo_width,algo_num_qubits,algo_num_clbits,algo_num_ops,algo_num_2q_gates,algo_num_cliffords,algo_num_non_cliffords,algo_critical_path_length,algo_connected_components,algo_num_parameters,algo_gate_measure,algo_gate_cx,algo_gate_h,transpile_opt_level,hw_circ_depth,hw_circ_width,hw_circ_num_ops,hw_circ_num_2q_gates,hw_circ_swaps,hw_circ_connected_components,hw_circ_connectivity_degree_max,hw_circ_connectivity_degree_avg,hw_gate_cz,hw_gate_measure,hw_gate_rz,hw_gate_sx,exec_openmp_num_threads,exec_mpi_rank,exec_mpi_size,exec_transpile_time,depth_ratio,twoq_ratio,hw_gate_cx,hw_gate_h,algo_gate_rz,algo_gate_cz,algo_gate_s,algo_gate_swap,algo_gate_rx,hw_gate_x,algo_gate_cu,algo_gate_ccx,algo_gate_cp,algo_gate_u2,algo_gate_ry,algo_gate_p,algo_gate_barrier,hw_gate_barrier,hw_gate_rx,algo_gate_reset,hw_gate_reset,hw_gate_gpi2,hw_gate_ms,hw_gate_gpi,hw_gate_ry,arg_device,arg_run_mode,algo_shots,be_backend_name,be_backend_type,be_backend_is_simulator,depth_qf,width_qf,n_ops_qf,two_qubit_gates_qf,clifford_count_qf,nonclifford_count_qf,critical_path_length_qf,connected_components_qf,num_parameters_qf,critical_path_length,connected_components,num_parameters
ghz,23,1,8,ibmq,ibm_torino,48.28000068664551,,24.0,37.91891891891892,,46.0,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,37.91891891891892,8.08108108108108,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,24.0,23.0,23.0,23.0,46.0,22.0,23.0,23.0,24.0,1.0,0.0,23.0,22.0,1.0,1.0,92.0,133.0,180.0,22.0,0.0,111.0,2.0,0.3308270676691729,22.0,23.0,90.0,45.0,1.0,0.0,1.0,3.147753951998311,3.8333333333333335,1.0,,,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,ibm_torino,hardware,False,24.0,37.91891891891892,46.0,22.0,37.91891891891892,8.08108108108108,24.0,1.0,0.0,24.0,1.0,0.0
ghz,24,1,8,ionq,simulator,2931.579828262329,,25.0,24.0,,48.0,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,24.0,48.0,23.0,24.0,24.0,25.0,1.0,0.0,25.0,1.0,0.0
ghz,24,2,8,nwqsim,MPI,1745.8561261494954,,25.0,24.0,,48.0,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,24.0,48.0,23.0,24.0,24.0,25.0,1.0,0.0,25.0,1.0,0.0
ghz,24,8,4,nwqsim,MPI,5184.860563278198,,25.0,24.0,,48.0,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,24.0,48.0,23.0,24.0,24.0,25.0,1.0,0.0,25.0,1.0,0.0
ghz,24,16,8,nwqsim,MPI,5187.581205368042,,25.0,24.0,,48.0,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,24.0,48.0,23.0,24.0,24.0,25.0,1.0,0.0,25.0,1.0,0.0
ghz,25,1,8,ionq,simulator,4996.642231941223,,26.0,25.0,,50.0,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.5,26.0,25.0,25.0,25.0,50.0,24.0,25.0,25.0,26.0,1.0,0.0,25.0,24.0,1.0,1.5,26.0,25.0,50.0,24.0,0.0,1.0,2.0,1.92,,25.0,,,1.0,0.0,1.0,0.45285940635949373,1.0,1.0,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,ionq_simulator,simulator,True,26.0,25.0,50.0,24.0,25.0,25.0,26.0,1.0,0.0,26.0,1.0,0.0
ghz,26,1,1,nwqsim,MPI,139849.4740486145,,27.0,26.0,,52.0,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,26.0,52.0,25.0,26.0,26.0,27.0,1.0,0.0,27.0,1.0,0.0
ghz,26,1,8,ionq,simulator,11273.13619852066,,27.0,26.0,,52.0,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.5,27.0,26.0,26.0,26.0,52.0,25.0,26.0,26.0,27.0,1.0,0.0,26.0,25.0,1.0,1.5,27.0,26.0,52.0,25.0,0.0,1.0,2.0,1.9230769230769231,,26.0,,,1.0,0.0,1.0,0.4351080508204177,1.0,1.0,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,ionq_simulator,simulator,True,27.0,26.0,52.0,25.0,26.0,26.0,27.0,1.0,0.0,27.0,1.0,0.0
ghz,26,1,16,nwqsim,MPI,14243.505430221558,,27.0,26.0,,52.0,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,26.0,52.0,25.0,26.0,26.0,27.0,1.0,0.0,27.0,1.0,0.0
ghz,26,2,2,nwqsim,MPI,40523.04539680481,,27.0,26.0,,52.0,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,26.0,52.0,25.0,26.0,26.0,27.0,1.0,0.0,27.0,1.0,0.0
ghz,26,2,4,nwqsim,MPI,25374.394464492798,,27.0,26.0,,52.0,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,26.0,52.0,25.0,26.0,26.0,27.0,1.0,0.0,27.0,1.0,0.0
ghz,26,2,8,nwqsim,MPI,15324.178981781006,,27.0,26.0,,52.0,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,26.0,52.0,25.0,26.0,26.0,27.0,1.0,0.0,27.0,1.0,0.0
ghz,26,4,2,nwqsim,MPI,25366.319799423218,,27.0,26.0,,52.0,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,26.0,52.0,25.0,26.0,26.0,27.0,1.0,0.0,27.0,1.0,0.0
ghz,26,4,4,nwqsim,MPI,15282.257747650146,,27.0,26.0,,52.0,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,26.0,52.0,25.0,26.0,26.0,27.0,1.0,0.0,27.0,1.0,0.0
ghz,26,4,8,nwqsim,MPI,10237.291669845581,,27.0,26.0,,52.0,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,26.0,52.0,25.0,26.0,26.0,27.0,1.0,0.0,27.0,1.0,0.0
ghz,26,8,2,nwqsim,MPI,15282.114887237549,,27.0,26.0,,52.0,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,26.0,52.0,25.0,26.0,26.0,27.0,1.0,0.0,27.0,1.0,0.0
ghz,26,8,4,nwqsim,MPI,10229.359221458435,,27.0,26.0,,52.0,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,26.0,52.0,25.0,26.0,26.0,27.0,1.0,0.0,27.0,1.0,0.0
ghz,26,8,8,nwqsim,MPI,5692.432904243469,,27.0,26.0,,52.0,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,26.0,52.0,25.0,26.0,26.0,27.0,1.0,0.0,27.0,1.0,0.0
ghz,26,16,2,nwqsim,MPI,10225.878477096558,,27.0,26.0,,52.0,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,26.0,52.0,25.0,26.0,26.0,27.0,1.0,0.0,27.0,1.0,0.0
ghz,26,16,4,nwqsim,MPI,5694.360280036926,,27.0,26.0,,52.0,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,26.0,52.0,25.0,26.0,26.0,27.0,1.0,0.0,27.0,1.0,0.0
ghz,26,16,8,nwqsim,MPI,5191.100287437439,,27.0,26.0,,52.0,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,26.0,52.0,25.0,26.0,26.0,27.0,1.0,0.0,27.0,1.0,0.0
ghz,27,1,8,ionq,simulator,13185.913244883219,,28.0,27.0,,54.0,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,28.0,27.0,27.0,27.0,54.0,26.0,27.0,27.0,28.0,1.0,0.0,27.0,26.0,1.0,2.0,28.0,27.0,54.0,26.0,0.0,1.0,2.0,1.9259259259259258,,27.0,,,1.0,0.0,1.0,0.448053203523159,1.0,1.0,26.0,1.0,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,ionq_simulator,simulator,True,28.0,27.0,54.0,26.0,27.0,27.0,28.0,1.0,0.0,28.0,1.0,0.0
ghz,28,1,1,nwqsim,MPI,565353.2549858093,,29.0,28.0,,56.0,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,28.0,56.0,27.0,28.0,28.0,29.0,1.0,0.0,29.0,1.0,0.0
ghz,28,1,8,ibmq,ibm_boston,10712.105214595795,,29.0,28.0,,56.0,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.5,29.0,28.0,28.0,28.0,56.0,27.0,28.0,28.0,29.0,1.0,0.0,28.0,27.0,1.0,1.5,131.5,156.0,316.75,63.75,0.0,127.0,2.25,0.3717948717948718,63.75,28.0,96.5,128.5,1.0,0.0,1.0,2.429357350221835,4.5344827586206895,2.361111111111111,,,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,,hardware,False,29.0,28.0,56.0,27.0,28.0,28.0,29.0,1.0,0.0,29.0,1.0,0.0
ghz,28,1,16,nwqsim,MPI,52326.11422538757,,29.0,28.0,,56.0,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,28.0,56.0,27.0,28.0,28.0,29.0,1.0,0.0,29.0,1.0,0.0
ghz,28,2,2,nwqsim,MPI,156589.47625160217,,29.0,28.0,,56.0,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,28.0,56.0,27.0,28.0,28.0,29.0,1.0,0.0,29.0,1.0,0.0
ghz,28,2,4,nwqsim,MPI,90999.11642074585,,29.0,28.0,,56.0,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,28.0,56.0,27.0,28.0,28.0,29.0,1.0,0.0,29.0,1.0,0.0
ghz,28,2,8,qiskitaer,automatic,6858.5686683654785,,29.0,28.0,,56.0,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,28.0,56.0,27.0,28.0,28.0,29.0,1.0,0.0,29.0,1.0,0.0
ghz,28,4,2,nwqsim,MPI,92001.37057304382,,29.0,28.0,,56.0,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,28.0,56.0,27.0,28.0,28.0,29.0,1.0,0.0,29.0,1.0,0.0
ghz,28,4,4,nwqsim,MPI,50660.01148223877,,29.0,28.0,,56.0,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,28.0,56.0,27.0,28.0,28.0,29.0,1.0,0.0,29.0,1.0,0.0
ghz,28,4,8,nwqsim,MPI,26392.56672859192,,29.0,28.0,,56.0,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,28.0,56.0,27.0,28.0,28.0,29.0,1.0,0.0,29.0,1.0,0.0
ghz,28,8,2,nwqsim,MPI,50624.954652786255,,29.0,28.0,,56.0,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,28.0,56.0,27.0,28.0,28.0,29.0,1.0,0.0,29.0,1.0,0.0
ghz,28,8,4,nwqsim,MPI,25404.964447021484,,29.0,28.0,,56.0,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,28.0,56.0,27.0,28.0,28.0,29.0,1.0,0.0,29.0,1.0,0.0
ghz,28,8,8,nwqsim,MPI,15278.055548667908,,29.0,28.0,,56.0,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,28.0,56.0,27.0,28.0,28.0,29.0,1.0,0.0,29.0,1.0,0.0
ghz,28,16,2,nwqsim,MPI,25369.946241378784,,29.0,28.0,,56.0,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,28.0,56.0,27.0,28.0,28.0,29.0,1.0,0.0,29.0,1.0,0.0
ghz,28,16,4,nwqsim,MPI,15281.844186782837,,29.0,28.0,,56.0,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,28.0,56.0,27.0,28.0,28.0,29.0,1.0,0.0,29.0,1.0,0.0
ghz,28,16,8,nwqsim,MPI,10241.570734977722,,29.0,28.0,,56.0,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,28.0,56.0,27.0,28.0,28.0,29.0,1.0,0.0,29.0,1.0,0.0
ghz,29,1,8,ibmq,ibm_boston,14896.678745746613,,30.0,29.0,,58.0,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.5,30.0,29.0,29.0,29.0,58.0,28.0,29.0,29.0,30.0,1.0,0.0,29.0,28.0,1.0,1.5,132.0,156.0,306.25,58.75,0.0,126.25,2.25,0.3814102564102564,58.75,29.0,100.0,118.5,1.0,0.0,1.0,2.4544934573350474,4.3999999999999995,2.0982142857142856,,,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,,hardware,False,30.0,29.0,58.0,28.0,29.0,29.0,30.0,1.0,0.0,30.0,1.0,0.0
ghz,30,1,8,ibmq,ibm_boston,22640.694797039032,,31.0,30.0,,60.0,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.5,31.0,30.0,30.0,30.0,60.0,29.0,30.0,30.0,31.0,1.0,0.0,30.0,29.0,1.0,1.5,141.75,156.0,322.75,62.75,0.0,126.5,2.25,0.3782051282051282,62.75,30.0,103.5,126.5,1.0,0.0,1.0,2.708398555754684,4.57258064516129,2.163793103448276,,,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,,hardware,False,31.0,30.0,60.0,29.0,30.0,30.0,31.0,1.0,0.0,31.0,1.0,0.0
ghz,30,1,16,nwqsim,MPI,203501.65247917175,,31.0,30.0,,60.0,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,30.0,60.0,29.0,30.0,30.0,31.0,1.0,0.0,31.0,1.0,0.0
ghz,30,2,4,nwqsim,MPI,351461.95096969604,,31.0,30.0,,60.0,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,30.0,60.0,29.0,30.0,30.0,31.0,1.0,0.0,31.0,1.0,0.0
ghz,30,2,8,qiskitaer,automatic,6576.896667480469,,31.0,30.0,,60.0,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,30.0,60.0,29.0,30.0,30.0,31.0,1.0,0.0,31.0,1.0,0.0
ghz,30,2,16,qiskitaer,automatic,7867.343823115031,,31.0,30.0,,60.0,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,30.0,60.0,29.0,30.0,30.0,31.0,1.0,0.0,31.0,1.0,0.0
ghz,30,4,2,nwqsim,MPI,352381.5001487732,,31.0,30.0,,60.0,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,30.0,60.0,29.0,30.0,30.0,31.0,1.0,0.0,31.0,1.0,0.0
ghz,30,4,4,nwqsim,MPI,181955.25994300842,,31.0,30.0,,60.0,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,30.0,60.0,29.0,30.0,30.0,31.0,1.0,0.0,31.0,1.0,0.0
ghz,30,4,8,nwqsim,MPI,96125.5069732666,,31.0,30.0,,60.0,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,30.0,60.0,29.0,30.0,30.0,31.0,1.0,0.0,31.0,1.0,0.0
ghz,30,8,2,nwqsim,MPI,181886.22012138367,,31.0,30.0,,60.0,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,30.0,60.0,29.0,30.0,30.0,31.0,1.0,0.0,31.0,1.0,0.0
ghz,30,8,4,nwqsim,MPI,96528.38048934937,,31.0,30.0,,60.0,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,30.0,60.0,29.0,30.0,30.0,31.0,1.0,0.0,31.0,1.0,0.0
ghz,30,8,8,nwqsim,MPI,55679.5752286911,,31.0,30.0,,60.0,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,30.0,60.0,29.0,30.0,30.0,31.0,1.0,0.0,31.0,1.0,0.0
ghz,30,16,2,nwqsim,MPI,97064.28442001343,,31.0,30.0,,60.0,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,30.0,60.0,29.0,30.0,30.0,31.0,1.0,0.0,31.0,1.0,0.0
ghz,30,16,4,nwqsim,MPI,55699.2461681366,,31.0,30.0,,60.0,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,30.0,60.0,29.0,30.0,30.0,31.0,1.0,0.0,31.0,1.0,0.0
ghz,30,16,8,nwqsim,MPI,30434.798431396484,,31.0,30.0,,60.0,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,30.0,60.0,29.0,30.0,30.0,31.0,1.0,0.0,31.0,1.0,0.0
ghz,31,1,8,ibmq,ibm_boston,21273.986518383026,,32.0,31.0,,62.0,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.5,32.0,31.0,31.0,31.0,62.0,30.0,31.0,31.0,32.0,1.0,0.0,31.0,30.0,1.0,1.5,147.75,156.0,341.5,67.5,0.0,126.0,2.25,0.38461538461538464,67.5,31.0,107.0,136.0,1.0,0.0,1.0,2.536609325092286,4.6171875,2.25,,,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,,hardware,False,32.0,31.0,62.0,30.0,31.0,31.0,32.0,1.0,0.0,32.0,1.0,0.0
ghz,32,1,8,ibmq,ibm_boston,20360.401928424835,,33.0,32.0,,64.0,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.5,33.0,32.0,32.0,32.0,64.0,31.0,32.0,32.0,33.0,1.0,0.0,32.0,31.0,1.0,1.5,150.0,156.0,337.75,64.75,0.0,124.0,2.25,0.41025641025641024,64.75,32.0,110.5,130.5,1.0,0.0,1.0,2.56233629246708,4.545454545454545,2.088709677419355,,,,,,,,,,,,,,,,,,,,,,,,CPU,sync,,,hardware,False,33.0,32.0,64.0,31.0,32.0,32.0,33.0,1.0,0.0,33.0,1.0,0.0
